quantity,hmax_0p22_dps55,hmax_0p20_dps60,abs_difference,relative_difference
A,203.67235802684485,203.67235802390138,2.9434659154503606e-09,1.445196561776409e-11
B,-408.30871204442406,-408.30871204513164,7.075868779793382e-10,1.7329703165900765e-12
rho,2.0011829182445786,2.0011829182526855,8.106848525812893e-12,4.051028245279703e-12
sigma,-0.004733072273888084,-0.0047330723063341296,3.2446045850065275e-11,6.855176458353214e-09
d,27009.262406812515,27009.262403843073,2.9694419936276972e-06,1.0994161740622667e-10
e,271555.834968385,271555.8349861755,1.7790531273931265e-05,6.551334562498704e-11
f,512441.22880473826,512441.2287884001,1.6338133718818426e-05,3.188294149837981e-11
g,75140.77917322783,75140.77917338765,1.5982368495315313e-07,2.1269899874788273e-12
G,886147.1053531637,886147.1053518064,1.357286237180233e-06,1.5316714673929687e-12
Delta6,-289016.9106027686,-289016.9105717692,3.099942114204168e-05,1.0725815690408833e-10
eta,21.361986692994346,21.361986693579073,5.847269335390592e-10,2.7372310540517976e-11
